id	subject	title	authors	year	vehicle	pages	link_publication	link_source_code	link_preprint	link_presentation
1	Classification	MARC: a robust method for multiple-aspect trajectory classification via space, time, and semantic embeddings	Lucas May Petry, Camila Leite Da Silva, Andrea Esuli, Chiara Renso, Vania Bogorny	2020	International Journal of Geographical Information Science		https://doi.org/10.1080/13658816.2019.1707835	https://github.com/bigdata-ufsc/petry-2020-marc	/papers/preprint/2019_IJGIS_MARC.pdf	
2	Similarity	Towards semantic-aware multiple-aspect trajectory similarity measuring	Lucas May Petry, Carlos Andres Ferrero, Luis Otavio Alvares, Chiara Renso, Vania Bogorny	2019	Transactions in GIS	960 – 975	https://onlinelibrary.wiley.com/doi/abs/10.1111/tgis.12542	https://github.com/bigdata-ufsc/petry-2019-muitas	/papers/preprint/2019_TGIS_MUITAS.pdf	
3	Classification	MasterMovelets: Discovering Heterogeneous Movelets for Multiple Aspect Trajectory Classification	Carlos Andres Ferrero, Lucas May Petry, Luis Otavio Alvares, Camila Leite da Silva, Willian Zalewski, Vania Bogorny	2020	Data Mining and Knowledge Discovery		https://doi.org/10.1007/s10618-020-00676-x			
4	Classification	Exploring Frequency-based Approaches for Efficient Trajectory Classiﬁcation	Francisco Vicenzi, Lucas May Petry, Camila Leite da Silva, Luis Otavio Alvares, Vania Bogorny	2020	35th Annual ACM Symposium on Applied Computing	624 – 631	https://dl.acm.org/doi/10.1145/3341105.3374045	https://github.com/bigdata-ufsc/vicenzi-2020-poifreq	/papers/preprint/2020_ACMSAC_Exploring_Frequency_Classification.pdf	/papers/presentation/2020_ACMSAC_Exploring_Frequency_Classification.pdf
5	Other	Challenges in vessel behavior and anomaly detection: from classical machine learning to deep learning	Lucas May Petry, Amilcar Soares, Vania Bogorny, Bruno Brandoli, Stan Matwin	2020	Canadian Conference on Artificial Intelligence		https://doi.org/10.1007/978-3-030-47358-7_41		https://arxiv.org/abs/2004.03722	https://www.youtube.com/watch?v=TchTWNWDYA0
6	Classification	A Survey and Comparison of Trajectory Classification Methods	Camila Leite da Silva, Lucas May Petry, Vania Bogorny	2019	Brazilian Conference on Intelligent Systems (BRACIS)	788 – 793	https://ieeexplore.ieee.org/abstract/document/8923877		/papers/preprint/2019_BRACIS_Survey_Classification.pdf	
7	Other	Mining Journals to the Ground: An Exploratory Analysis of Newspaper Articles	Camila Leite da Silva, Lucas May Petry, Vinicius Freitas, Carina Friedrich Dorneles	2019	Brazilian Conference on Intelligent Systems (BRACIS)	78 – 83	https://ieeexplore.ieee.org/abstract/document/8923936	https://github.com/lucaspetry/news-similarity	/papers/preprint/2019_BRACIS_Mining_Journals.pdf	
8	Similarity	Traj2User: exploiting embeddings for computing similarity of users mobile behavior	Andrea Esuli, Lucas May Petry, Chiara Renso, Vania Bogorny	2018	arXiv preprint				https://arxiv.org/pdf/1808.00554	
9	Similarity	Multiple-Aspect Trajectory Similarity Measuring	Lucas May Petry, Vania Bogorny	2017	Undergraduate Thesis		https://repositorio.ufsc.br/handle/123456789/202504			
10	Classification	A Recurrent Neural Network Approach for Multiple-Aspect Trajectory Classification via Space, Time, and Semantic Embeddings	Lucas May Petry, Vania Bogorny	2020	Master’s Thesis		/papers/2020-06-15_MasterThesis_LucasMayPetry.pdf	https://github.com/lucaspetry/msc-thesis-marc		https://www.youtube.com/watch?v=dgkDFCxMGNQ
